subscription_id,user_id,event_type,plan,mrr,event_date
sub_62224542,user_00064,created,free,0,2025-03-19
sub_50918068,user_00065,created,pro,49,2025-03-19
sub_7890314,user_00065,cancelled,pro,0,2025-07-07
sub_1298102,user_00066,created,free,0,2025-04-12
sub_67135692,user_00067,created,pro,49,2025-03-09
sub_70533952,user_00068,created,free,0,2025-04-22
sub_36136013,user_00069,created,pro,49,2025-04-15
sub_41870770,user_00070,created,enterprise,149,2025-05-09
sub_61228317,user_00071,created,free,0,2025-05-10
sub_34737951,user_00072,created,enterprise,149,2025-05-10
sub_3172317,user_00073,created,free,0,2025-01-01
sub_68608323,user_00074,created,pro,49,2025-03-27
sub_30966885,user_00075,created,pro,49,2025-05-09
sub_58830582,user_00076,created,enterprise,149,2025-02-13
sub_88227915,user_00076,downgraded,pro,49,2025-07-23
sub_74825073,user_00077,created,pro,49,2025-04-03
sub_11887765,user_00077,downgraded,free,0,2025-06-21
sub_75773305,user_00078,created,free,0,2025-08-12
sub_14701600,user_00079,created,pro,49,2025-05-08
sub_76757382,user_00080,created,pro,49,2025-05-16
sub_4365968,user_00081,created,pro,49,2025-02-17
sub_65860061,user_00082,created,free,0,2025-12-13
sub_39134657,user_00083,created,enterprise,149,2025-10-16
sub_83176232,user_00084,created,pro,49,2025-04-18
sub_76135513,user_00085,created,free,0,2025-05-19
sub_17532794,user_00086,created,free,0,2025-02-01
sub_11509711,user_00087,created,free,0,2025-01-25
sub_58677738,user_00087,upgraded,pro,49,2025-07-22
sub_40369409,user_00088,created,enterprise,149,2025-02-10
sub_5853516,user_00089,created,pro,49,2025-10-25
sub_6758118,user_00090,created,enterprise,149,2025-03-17
sub_54178854,user_00090,downgraded,pro,49,2025-08-02
sub_76675984,user_00091,created,free,0,2025-02-22
sub_98915385,user_00092,created,pro,49,2025-03-20
sub_97455443,user_00093,created,pro,49,2025-08-18
sub_71012790,user_00094,created,free,0,2025-03-31
sub_27058295,user_00094,upgraded,pro,49,2025-09-16
sub_52752683,user_00095,created,free,0,2025-03-05
sub_81594909,user_00096,created,pro,49,2025-01-16
sub_98027562,user_00097,created,free,0,2025-05-07
sub_83930001,user_00098,created,free,0,2025-08-30
sub_17160749,user_00099,created,pro,49,2025-02-12
sub_26491961,user_00100,created,pro,49,2025-05-26
sub_43759724,user_00100,downgraded,free,0,2025-07-17
sub_30931982,user_00101,created,pro,49,2025-03-02
sub_37393393,user_00102,created,enterprise,149,2025-05-15
sub_72522192,user_00103,created,enterprise,149,2025-08-22
sub_36106651,user_00104,created,pro,49,2025-01-14
sub_68432453,user_00104,cancelled,pro,0,2025-03-10
sub_58659357,user_00105,created,free,0,2025-02-10
sub_36295026,user_00106,created,pro,49,2025-05-23
sub_60270117,user_00107,created,pro,49,2025-05-22
sub_5244248,user_00108,created,free,0,2025-03-29
sub_67668509,user_00109,created,enterprise,149,2025-04-06
sub_21168865,user_00110,created,free,0,2025-02-20
sub_15739492,user_00111,created,free,0,2025-02-07
sub_30064964,user_00112,created,pro,49,2025-05-06
sub_77052284,user_00113,created,pro,49,2025-03-20
sub_70837978,user_00114,created,free,0,2025-04-14
sub_55058585,user_00115,created,free,0,2025-02-18
sub_42756551,user_00116,created,pro,49,2025-10-24
sub_36818748,user_00117,created,enterprise,149,2025-04-25
sub_57940915,user_00118,created,free,0,2025-03-12
sub_25164704,user_00118,upgraded,pro,49,2025-11-04
sub_19868814,user_00119,created,pro,49,2025-01-11
sub_95887278,user_00119,upgraded,enterprise,149,2025-08-23
sub_1305716,user_00120,created,free,0,2025-08-11
sub_22571736,user_00120,upgraded,pro,49,2025-12-28
sub_8847372,user_00121,created,free,0,2025-01-10
sub_22347212,user_00122,created,pro,49,2025-01-15
sub_26749842,user_00123,created,free,0,2025-04-28
sub_99788238,user_00124,created,free,0,2025-05-01
sub_97556533,user_00125,created,enterprise,149,2025-04-25
sub_65990558,user_00127,created,free,0,2025-01-31
sub_92116207,user_00128,created,pro,49,2025-05-14
sub_99662519,user_00129,created,pro,49,2025-02-24
sub_19915816,user_00130,created,pro,49,2025-11-02
sub_1952172,user_00131,created,free,0,2025-05-06
sub_48221693,user_00132,created,pro,49,2025-03-01
sub_44137966,user_00133,created,pro,49,2025-03-01
sub_199996,user_00133,upgraded,enterprise,149,2025-05-17
sub_27935718,user_00135,created,enterprise,149,2025-02-14
sub_29233159,user_00136,created,pro,49,2025-03-10
sub_265528,user_00137,created,pro,49,2025-06-19
sub_8181846,user_00138,created,free,0,2025-03-06
sub_2767728,user_00139,created,free,0,2025-04-07
sub_2439233,user_00140,created,free,0,2025-03-03
sub_73624294,user_00140,upgraded,pro,49,2025-06-10
sub_69658618,user_00140,upgraded,enterprise,149,2025-08-28
sub_50587113,user_00141,created,pro,49,2025-04-16
sub_33375495,user_00142,created,pro,49,2025-04-07
sub_39150077,user_00143,created,free,0,2025-02-25
sub_99828022,user_00144,created,pro,49,2025-08-25
sub_95874039,user_00145,created,free,0,2025-01-19
sub_54130831,user_00146,created,pro,49,2025-01-30
sub_60859288,user_00146,upgraded,enterprise,149,2025-04-15
sub_32114637,user_00146,downgraded,pro,49,2025-09-26
sub_79690930,user_00147,created,enterprise,149,2025-04-04
sub_14929023,user_00148,created,pro,49,2025-04-27
sub_82166272,user_00149,created,free,0,2025-11-28
sub_648171,user_00150,created,pro,49,2025-11-22
sub_450795,user_00151,created,free,0,2025-03-09
sub_69277550,user_00152,created,free,0,2025-09-28
sub_69939821,user_00153,created,pro,49,2025-05-25
sub_76737279,user_00153,upgraded,enterprise,149,2025-08-09
sub_76252866,user_00154,created,free,0,2025-01-08
sub_12077084,user_00155,created,free,0,2025-03-30
sub_16283037,user_00155,upgraded,pro,49,2025-12-02
sub_33839318,user_00156,created,free,0,2025-02-21
sub_15986801,user_00157,created,pro,49,2025-11-30
sub_54518407,user_00158,created,pro,49,2025-02-15
sub_355692,user_00159,created,pro,49,2025-01-20
sub_3106154,user_00160,created,free,0,2025-01-06
sub_77798642,user_00160,upgraded,pro,49,2025-05-09
sub_12394373,user_00161,created,free,0,2025-01-29
sub_51604447,user_00162,created,pro,49,2025-01-16
sub_76197740,user_00163,created,free,0,2025-04-24
sub_99506677,user_00164,created,enterprise,149,2025-01-02
sub_84258614,user_00165,created,enterprise,149,2025-03-09
sub_20437080,user_00166,created,free,0,2025-02-28
sub_31554178,user_00167,created,free,0,2025-04-22
sub_18637972,user_00168,created,free,0,2025-09-13
sub_92007726,user_00169,created,pro,49,2025-10-17
sub_66366924,user_00170,created,pro,49,2025-02-06
sub_27050445,user_00171,created,free,0,2025-03-27
sub_61303454,user_00172,created,pro,49,2025-05-07
sub_99611640,user_00173,created,enterprise,149,2025-12-07
sub_78110995,user_00174,created,enterprise,149,2025-07-07
sub_90362638,user_00175,created,free,0,2025-01-15
sub_71394776,user_00176,created,free,0,2025-03-18
sub_77466401,user_00177,created,free,0,2025-05-11
sub_97543497,user_00178,created,free,0,2025-04-02
sub_61717488,user_00179,created,enterprise,149,2025-05-04
sub_99322814,user_00180,created,free,0,2025-01-08
sub_96148327,user_00180,upgraded,pro,49,2025-04-15
sub_82916480,user_00181,created,free,0,2025-04-15
sub_6003481,user_00182,created,free,0,2025-05-22
sub_52103937,user_00183,created,free,0,2025-02-24
sub_1195394,user_00183,upgraded,pro,49,2025-04-30
sub_72716080,user_00184,created,enterprise,149,2025-02-15
sub_98389011,user_00184,downgraded,pro,49,2025-07-22
sub_45209685,user_00185,created,free,0,2025-02-23
sub_40292372,user_00185,upgraded,pro,49,2025-09-26
sub_72924070,user_00186,created,pro,49,2025-05-05
sub_11032763,user_00187,created,pro,49,2025-01-25
sub_73499395,user_00187,downgraded,free,0,2025-07-23
sub_57077082,user_00188,created,free,0,2025-02-15
sub_64428388,user_00189,created,enterprise,149,2025-01-29
sub_34629948,user_00190,created,free,0,2025-01-06
sub_52144644,user_00191,created,free,0,2025-02-21
sub_32875807,user_00192,created,free,0,2025-07-04
sub_5453328,user_00193,created,enterprise,149,2025-02-13
sub_6799765,user_00194,created,free,0,2025-01-07
sub_3094747,user_00195,created,pro,49,2025-04-06
sub_80091105,user_00196,created,free,0,2025-01-29
sub_79119532,user_00196,upgraded,pro,49,2025-03-10
sub_69128839,user_00197,created,pro,49,2025-04-27
sub_37222605,user_00198,created,free,0,2025-05-17
sub_91844778,user_00199,created,free,0,2025-06-10
sub_29409531,user_00200,created,free,0,2025-05-02
sub_33425740,user_00201,created,free,0,2025-04-03
sub_58325929,user_00202,created,free,0,2025-05-24
sub_15937106,user_00202,upgraded,pro,49,2025-08-28
sub_12989735,user_00203,created,pro,49,2025-04-20
sub_97041097,user_00203,upgraded,enterprise,149,2025-10-08
sub_32791876,user_00204,created,free,0,2025-10-19
sub_59816708,user_00205,created,pro,49,2025-04-23
sub_11070537,user_00206,created,enterprise,149,2025-05-16
sub_12901181,user_00207,created,enterprise,149,2025-03-25
sub_70248400,user_00208,created,pro,49,2025-02-23
sub_11430379,user_00208,cancelled,pro,0,2025-12-18
sub_42726974,user_00209,created,pro,49,2025-01-28
sub_12410699,user_00210,created,free,0,2025-01-12
sub_88872644,user_00210,upgraded,pro,49,2025-11-07
sub_81084829,user_00211,created,free,0,2025-01-31
sub_74530562,user_00212,created,free,0,2025-03-02
sub_86672678,user_00213,created,pro,49,2025-03-24
sub_49577347,user_00214,created,free,0,2025-04-10
sub_93187755,user_00215,created,pro,49,2025-04-26
sub_34780900,user_00216,created,free,0,2025-04-27
sub_44255086,user_00216,upgraded,pro,49,2025-10-04
sub_67276435,user_00217,created,free,0,2025-10-24
sub_18994710,user_00218,created,free,0,2025-03-25
sub_76951198,user_00219,created,enterprise,149,2025-05-10
sub_41479441,user_00220,created,enterprise,149,2025-03-31
sub_20143561,user_00221,created,pro,49,2025-05-18
sub_2438885,user_00221,downgraded,free,0,2025-09-30
sub_25382259,user_00222,created,free,0,2025-03-05
sub_85352002,user_00223,created,free,0,2025-01-21
sub_34866307,user_00224,created,pro,49,2025-03-02
sub_89218645,user_00225,created,free,0,2025-05-03
sub_1615752,user_00226,created,pro,49,2025-11-15
sub_9182316,user_00227,created,free,0,2025-02-08
sub_48723563,user_00227,upgraded,pro,49,2025-06-01
sub_27307038,user_00228,created,pro,49,2025-09-01
sub_43478750,user_00228,downgraded,free,0,2025-11-15
sub_32101325,user_00229,created,free,0,2025-09-01
sub_37276838,user_00230,created,pro,49,2025-02-28
sub_55414868,user_00231,created,free,0,2025-03-29
sub_55179030,user_00232,created,pro,49,2025-01-18
sub_4022683,user_00233,created,pro,49,2025-04-22
sub_59925222,user_00233,downgraded,free,0,2025-08-08
sub_43171352,user_00234,created,pro,49,2025-01-13
sub_50339944,user_00235,created,free,0,2025-05-18
sub_77142195,user_00236,created,free,0,2025-02-24
sub_81498287,user_00237,created,free,0,2025-09-09
sub_80158913,user_00238,created,enterprise,149,2025-05-21
sub_33605818,user_00239,created,enterprise,149,2025-01-28
sub_38035096,user_00240,created,free,0,2025-01-17
sub_78115343,user_00240,upgraded,pro,49,2025-08-18
sub_94496479,user_00241,created,enterprise,149,2025-05-24
sub_36686837,user_00242,created,free,0,2025-03-01
sub_54280598,user_00243,created,free,0,2025-01-27
sub_57974332,user_00243,upgraded,pro,49,2025-11-24
sub_59272797,user_00244,created,pro,49,2025-05-29
sub_19900441,user_00245,created,pro,49,2025-05-15
sub_96115199,user_00246,created,pro,49,2025-05-12
sub_7203266,user_00247,created,free,0,2025-11-01
sub_12816522,user_00248,created,free,0,2025-03-17
sub_7859815,user_00248,upgraded,pro,49,2025-12-29
sub_73891751,user_00249,created,pro,49,2025-07-15
sub_18515091,user_00250,created,pro,49,2025-01-21
sub_35835671,user_00250,cancelled,pro,0,2025-09-03
sub_86431172,user_00251,created,enterprise,149,2025-07-20
sub_96773362,user_00252,created,free,0,2025-04-10
sub_2151775,user_00253,created,free,0,2025-12-10
sub_18693730,user_00254,created,free,0,2025-03-14
sub_94803345,user_00255,created,enterprise,149,2025-01-20
sub_72353403,user_00256,created,pro,49,2025-04-02
sub_12294633,user_00256,downgraded,free,0,2025-12-22
sub_92438209,user_00257,created,free,0,2025-01-16
sub_68047801,user_00258,created,free,0,2025-02-25
sub_20428950,user_00258,upgraded,pro,49,2025-06-03
sub_18491548,user_00259,created,pro,49,2025-05-01
sub_87592940,user_00260,created,free,0,2025-04-22
sub_29862398,user_00261,created,free,0,2025-03-10
sub_68899184,user_00262,created,free,0,2025-03-12
sub_59960207,user_00262,upgraded,pro,49,2025-09-13
sub_80055976,user_00263,created,enterprise,149,2025-03-17
sub_38787039,user_00263,cancelled,enterprise,0,2025-09-25
sub_151477,user_00264,created,free,0,2025-05-14
sub_20037607,user_00265,created,pro,49,2025-03-10
sub_52490143,user_00266,created,free,0,2025-01-27
sub_18889590,user_00267,created,enterprise,149,2025-02-08
sub_4520546,user_00268,created,pro,49,2025-07-30
sub_71253299,user_00268,downgraded,free,0,2025-09-26
sub_46526658,user_00269,created,enterprise,149,2025-01-10
sub_67215850,user_00270,created,enterprise,149,2025-06-19
sub_9398971,user_00271,created,pro,49,2025-07-12
sub_66690193,user_00272,created,free,0,2025-10-10
sub_35175775,user_00273,created,free,0,2025-03-04
sub_92452818,user_00274,created,free,0,2025-05-20
sub_43588773,user_00275,created,pro,49,2025-03-10
sub_18245984,user_00275,downgraded,free,0,2025-11-03
sub_62756047,user_00276,created,free,0,2025-05-04
sub_30521314,user_00277,created,pro,49,2025-09-21
sub_48118532,user_00278,created,free,0,2025-05-06
sub_85519976,user_00279,created,free,0,2025-05-12
sub_25857500,user_00279,upgraded,pro,49,2025-08-06
sub_55242115,user_00279,downgraded,free,0,2025-10-31
sub_41818625,user_00280,created,free,0,2025-08-11
sub_21443889,user_00281,created,enterprise,149,2025-02-18
sub_29832464,user_00281,downgraded,pro,49,2025-08-10
sub_46230062,user_00282,created,free,0,2025-04-20
sub_60993072,user_00282,upgraded,pro,49,2025-10-12
sub_2334965,user_00283,created,pro,49,2025-04-21
sub_1130283,user_00283,upgraded,enterprise,149,2025-08-30
sub_39548494,user_00284,created,pro,49,2025-01-15
sub_11702433,user_00285,created,free,0,2025-05-18
sub_21403749,user_00286,created,pro,49,2025-12-27
sub_83182100,user_00287,created,pro,49,2025-02-09
sub_12710585,user_00288,created,free,0,2025-04-22
sub_75163764,user_00288,upgraded,pro,49,2025-06-09
sub_18721927,user_00289,created,enterprise,149,2025-03-19
sub_74042614,user_00290,created,pro,49,2025-11-16
sub_94116088,user_00291,created,pro,49,2025-05-13
sub_44562374,user_00292,created,free,0,2025-02-20
sub_14385841,user_00293,created,free,0,2025-02-01
sub_73679097,user_00294,created,free,0,2025-04-08
sub_15595477,user_00295,created,pro,49,2025-01-19
sub_92156393,user_00295,upgraded,enterprise,149,2025-11-04
sub_56193324,user_00296,created,pro,49,2025-05-02
sub_9320521,user_00297,created,free,0,2025-01-12
sub_84334607,user_00298,created,pro,49,2025-01-06
sub_23714848,user_00298,cancelled,pro,0,2025-06-24
sub_84764758,user_00299,created,free,0,2025-05-14
sub_43938049,user_00300,created,pro,49,2025-03-22
sub_46432833,user_00301,created,free,0,2025-05-20
sub_75760648,user_00302,created,pro,49,2025-07-19
sub_2402352,user_00304,created,pro,49,2025-12-02
sub_38502327,user_00305,created,free,0,2025-10-08
sub_89329766,user_00306,created,pro,49,2025-03-01
sub_53362652,user_00307,created,pro,49,2025-03-25
sub_15357495,user_00307,cancelled,pro,0,2025-12-11
sub_4255661,user_00308,created,pro,49,2025-05-08
sub_8164767,user_00309,created,free,0,2025-06-17
sub_62364034,user_00310,created,free,0,2025-03-19
sub_80747404,user_00311,created,pro,49,2025-04-08
sub_23205311,user_00312,created,free,0,2025-01-19
sub_29402174,user_00312,upgraded,pro,49,2025-10-05
sub_7433165,user_00313,created,pro,49,2025-03-19
sub_35500881,user_00314,created,pro,49,2025-01-27
sub_57239907,user_00314,downgraded,free,0,2025-04-21
sub_54814320,user_00315,created,free,0,2025-04-11
sub_3158362,user_00316,created,enterprise,149,2025-10-15
sub_7218512,user_00317,created,pro,49,2025-04-27
sub_11442470,user_00318,created,pro,49,2025-03-22
sub_17151257,user_00319,created,pro,49,2025-05-08
sub_75370985,user_00320,created,pro,49,2025-05-03
sub_32521351,user_00320,upgraded,enterprise,149,2025-10-04
sub_70111528,user_00321,created,free,0,2025-05-17
sub_19236657,user_00322,created,pro,49,2025-03-22
sub_61509466,user_00322,upgraded,enterprise,149,2025-06-29
sub_11632103,user_00323,created,pro,49,2025-10-13
sub_3976162,user_00324,created,pro,49,2025-05-09
sub_12043500,user_00325,created,free,0,2025-04-14
sub_97093947,user_00325,upgraded,pro,49,2025-11-01
sub_23592931,user_00326,created,free,0,2025-02-17
sub_26911168,user_00327,created,free,0,2025-10-01
sub_17066088,user_00328,created,free,0,2025-05-21
sub_76208598,user_00329,created,enterprise,149,2025-06-03
sub_98651116,user_00330,created,free,0,2025-05-19
sub_84174205,user_00331,created,free,0,2025-04-15
sub_57339920,user_00332,created,free,0,2025-04-24
sub_9213212,user_00333,created,free,0,2025-01-11
sub_47089952,user_00333,upgraded,pro,49,2025-08-27
sub_12022056,user_00334,created,free,0,2025-01-27
sub_16789758,user_00335,created,pro,49,2025-02-08
sub_3941312,user_00335,cancelled,pro,0,2025-07-05
sub_87894352,user_00336,created,free,0,2025-05-30
sub_35499509,user_00337,created,free,0,2025-03-09
sub_71451022,user_00338,created,enterprise,149,2025-03-14
sub_96009984,user_00338,cancelled,enterprise,0,2025-12-13
sub_50232496,user_00339,created,free,0,2025-04-28
sub_1547308,user_00340,created,pro,49,2025-07-30
sub_66808013,user_00341,created,free,0,2025-01-22
sub_98707547,user_00342,created,pro,49,2025-03-07
sub_57630840,user_00343,created,free,0,2025-07-20
sub_58415071,user_00344,created,free,0,2025-07-05
sub_43634492,user_00345,created,pro,49,2025-03-28
sub_30116895,user_00345,downgraded,free,0,2025-12-03
sub_98047817,user_00346,created,pro,49,2025-03-11
sub_34701832,user_00348,created,free,0,2025-02-12
sub_41883522,user_00349,created,free,0,2025-04-28
sub_51249115,user_00350,created,pro,49,2025-09-22
sub_97362358,user_00351,created,free,0,2025-03-12
sub_6174484,user_00352,created,free,0,2025-01-30
sub_40998348,user_00353,created,free,0,2025-07-09
sub_87924901,user_00354,created,pro,49,2025-03-22
sub_23851074,user_00355,created,pro,49,2025-03-01
sub_19371183,user_00356,created,free,0,2025-08-13
sub_59029762,user_00357,created,enterprise,149,2025-01-12
sub_56232116,user_00358,created,pro,49,2025-02-04
sub_29361875,user_00359,created,free,0,2025-03-15
sub_85095796,user_00360,created,free,0,2025-04-15
sub_40244616,user_00361,created,pro,49,2025-04-26
sub_51381143,user_00362,created,pro,49,2025-04-07
sub_3376007,user_00362,upgraded,enterprise,149,2025-10-28
sub_14370816,user_00363,created,pro,49,2025-10-09
sub_83488692,user_00363,downgraded,free,0,2025-12-31
sub_11826271,user_00364,created,free,0,2025-01-14
sub_44680584,user_00365,created,free,0,2025-01-09
sub_31755622,user_00366,created,free,0,2025-10-29
sub_918529,user_00367,created,enterprise,149,2025-05-11
sub_49117104,user_00368,created,free,0,2025-07-22
sub_67004252,user_00368,upgraded,pro,49,2025-10-30
sub_96526503,user_00369,created,enterprise,149,2025-04-25
sub_99793791,user_00370,created,enterprise,149,2025-03-08
sub_84009764,user_00371,created,free,0,2025-03-21
sub_27508972,user_00372,created,free,0,2025-02-13
sub_98232478,user_00373,created,pro,49,2025-03-22
sub_41490410,user_00374,created,pro,49,2025-03-06
sub_66010706,user_00374,downgraded,free,0,2025-09-26
sub_19985122,user_00375,created,free,0,2025-02-06
sub_34825874,user_00376,created,enterprise,149,2025-03-15
sub_31524851,user_00377,created,free,0,2025-05-10
sub_46938936,user_00377,upgraded,pro,49,2025-11-16
sub_74938356,user_00378,created,pro,49,2025-02-15
sub_56620520,user_00379,created,pro,49,2025-02-16
sub_11150024,user_00380,created,free,0,2025-03-11
sub_65923591,user_00381,created,pro,49,2025-05-21
sub_55006761,user_00381,upgraded,enterprise,149,2025-09-30
sub_71774011,user_00382,created,pro,49,2025-01-09
sub_22693121,user_00382,downgraded,free,0,2025-09-04
sub_21901903,user_00383,created,pro,49,2025-04-24
sub_42661147,user_00384,created,free,0,2025-02-14
sub_13630720,user_00385,created,enterprise,149,2025-04-05
sub_91186040,user_00386,created,free,0,2025-05-17
sub_16940639,user_00387,created,enterprise,149,2025-01-15
sub_61585442,user_00388,created,free,0,2025-05-03
sub_89681400,user_00389,created,free,0,2025-03-14
sub_24598469,user_00389,upgraded,pro,49,2025-07-05
sub_52914143,user_00390,created,free,0,2025-04-18
sub_60809112,user_00391,created,free,0,2025-02-25
sub_509134,user_00392,created,free,0,2025-07-23
sub_68368892,user_00393,created,pro,49,2025-04-14
sub_52611284,user_00393,downgraded,free,0,2025-08-15
sub_56144019,user_00394,created,enterprise,149,2025-02-17
sub_94434569,user_00394,cancelled,enterprise,0,2025-06-10
sub_51999551,user_00395,created,pro,49,2025-05-07
sub_47121480,user_00397,created,pro,49,2025-03-26
sub_93790002,user_00397,upgraded,enterprise,149,2025-12-26
sub_53712506,user_00398,created,free,0,2025-12-23
sub_20487363,user_00399,created,pro,49,2025-01-15
sub_17451259,user_00400,created,free,0,2025-03-03
sub_37052406,user_00401,created,enterprise,149,2025-10-04
sub_10279520,user_00402,created,enterprise,149,2025-04-21
sub_83403051,user_00403,created,free,0,2025-05-24
sub_59314812,user_00404,created,free,0,2025-03-26
sub_54864149,user_00405,created,free,0,2025-05-07
sub_73253030,user_00406,created,enterprise,149,2025-04-18
sub_59323945,user_00407,created,free,0,2025-05-01
sub_68536500,user_00408,created,pro,49,2025-03-15
sub_36180065,user_00408,cancelled,pro,0,2025-09-14
sub_83690835,user_00409,created,free,0,2025-01-18
sub_39386435,user_00410,created,free,0,2025-02-09
sub_63525919,user_00411,created,free,0,2025-04-10
sub_62690620,user_00412,created,pro,49,2025-04-26
sub_10807157,user_00413,created,pro,49,2025-03-17
sub_88904677,user_00414,created,free,0,2025-02-02
sub_21427013,user_00415,created,free,0,2025-02-02
sub_77602153,user_00415,upgraded,pro,49,2025-03-07
sub_8065079,user_00415,downgraded,free,0,2025-10-30
sub_85780153,user_00416,created,free,0,2025-05-21
sub_27876148,user_00417,created,free,0,2025-01-27
sub_48533885,user_00418,created,free,0,2025-05-08
sub_2019270,user_00418,upgraded,pro,49,2025-09-28
sub_4898870,user_00419,created,enterprise,149,2025-04-28
sub_55402520,user_00420,created,enterprise,149,2025-03-19
sub_14610015,user_00421,created,enterprise,149,2025-02-24
sub_68485923,user_00422,created,pro,49,2025-03-19
sub_40709319,user_00422,upgraded,enterprise,149,2025-10-10
sub_67189199,user_00423,created,enterprise,149,2025-06-29
sub_75916943,user_00424,created,enterprise,149,2025-01-27
sub_64877175,user_00425,created,free,0,2025-02-16
sub_40444791,user_00426,created,pro,49,2025-04-27
sub_19538668,user_00427,created,pro,49,2025-03-11
sub_16851582,user_00427,cancelled,pro,0,2025-08-09
sub_31580556,user_00428,created,free,0,2025-03-10
sub_42037932,user_00429,created,enterprise,149,2025-05-09
sub_36490475,user_00430,created,pro,49,2025-02-13
sub_28115244,user_00431,created,pro,49,2025-05-30
sub_41285310,user_00432,created,free,0,2025-02-27
sub_7200455,user_00433,created,pro,49,2025-03-08
sub_41236861,user_00434,created,free,0,2025-01-19
sub_97449882,user_00435,created,free,0,2025-05-19
sub_56274290,user_00436,created,free,0,2025-10-15
sub_99176257,user_00437,created,enterprise,149,2025-03-24
sub_50788484,user_00438,created,free,0,2025-05-08
sub_73508869,user_00439,created,free,0,2025-03-25
sub_20449463,user_00439,upgraded,pro,49,2025-06-13
sub_14826072,user_00439,cancelled,pro,0,2025-08-20
